Tag ID;Student ID;Class;Notes;
2090174742;222;6-C;Öğrenci;
2083204166;486;6-C;Öğrenci;
3926272646;288;6-C;Öğrenci;
2088403062;195;6-C;Öğrenci;
2089786886;473;6-C;Öğrenci;
2090392070;1126;6-A;Öğrenci;
3927227270;159;6-A;Öğrenci;
3925712662;333;6-A;Öğrenci;
3927364870;Stat. 6-B;;Stationary;
2084911766;175;6-A;Öğrenci;
3925488454;350;6-A;Öğrenci;
3913080086;144;6-A;Öğrenci;
2089192342;170;6-A;Öğrenci;
3924195174;1093;6-A;Öğrenci;
3912455894;181;6-A;Öğrenci;
2089899526;166;6-A;Öğrenci;
2081823686;183;6-A;Öğrenci;
3917100214;760;6-A;Öğrenci;
3918229910;451;6-A;Öğrenci;
3918198358;189;6-A;Öğrenci;
3912959574;597;6-A;Öğrenci;
3913347910;434;6-A;Öğrenci;
3914618022;931;6-A;Öğrenci;
2090917350;553;6-A;Öğrenci;
3926314886;163;6-A;Öğrenci;
3927332086;164;6-A;Öğrenci;
3917927526;Stat. Kantin;;Stationary;
3926313894;167;6-A;Öğrenci;
2082767254;168;6-A;Öğrenci;
3924273910;169;6-A;Öğrenci;
3914614934;348;6-A;Öğrenci;
3914566374;223;6-A;Öğrenci;
3926446726;Stat. 6-C;;Stationary;
2090446550;Stat. 6-A;;Stationary;
3919185430;851;6-D;Öğrenci;
3918699078;1201;6-D;Öğrenci;
3926933430;867;6-D;Öğrenci;
3926029382;1205;6-D;Öğrenci;
3918698310;823;6-D;Öğrenci;
3924406214;1185;6-D;Öğrenci;5-D yazmış
3917899798;611;6-D;Öğrenci;
3924627766;448;6-D;Öğrenci;
3915353718;1200;6-D;Öğrenci;
3927157430;607;6-D;Öğrenci;
3929522966;551;6-D;Öğrenci;
3916336870;1199;6-D;Öğrenci;
3913514262;Stat. 6-D;;Stationary;
2088987110;526;6-D;Öğrenci;
2090982598;865;6-D;Öğrenci;
2090021238;1194;6-D;Öğrenci;
3924275830;514;6-D;Öğrenci;
3917301990;840;6-D;Öğrenci;
3926175558;599;6-D;Öğrenci;
3917012790;1196;6-D;Öğrenci;
3917100070;371;6-A;Öğrenci;
3928288422;838;6-D;Öğrenci;
3917079382;841;6-D;Öğrenci;
3917759270;648;6-C;Öğrenci;
3919165222;945;6-B;Öğrenci;
3913024358;220;6-B;Öğrenci;
3917050038;671;6-B;Öğrenci;
3928622518;965;6-B;Öğrenci;
3927384998;;;;
3928409206;411;6-A;Öğrenci;
2086935398;866;6-B;Öğrenci;
