Tag ID;Student ID;Class;Notes;
2090949286;113;5-D;Öğrenci;Watch
2089385414;496;5-D;Öğrenci;Watch
2088410406;312;5-D;Öğrenci;Watch
2083147542;641;5-D;Öğrenci;Watch
2083223990;767;5-D;Öğrenci;Watch
2087088246;421;5-D;Öğrenci;Watch
287058962;461;5-D;Öğrenci;Watch
2090167814;897;5-D;Öğrenci;Watch
2083120774;854;5-D;Öğrenci;Watch
2090745782;349;5-D;Öğrenci;Watch
2090012806;177;5-D;Öğrenci;Watch
2081694934;917;5-D;Öğrenci;Watch
2089143222;;5-D;Öğrenci;Watch
2088410806;373;5-D;Öğrenci;Watch
2084873110;420;5-D;Öğrenci;Watch
2090180262;363;5-D;Öğrenci;Watch
285806082;120;5-D;Öğrenci;Watch
3917100070;437;5-A;;
3917050038;325;5-C;;
3918994822;679;5-A;;
3917012790;381;5-E;;
3928461158;Stat. 5-A;;Stationary;
3913024358;Stat 5-E;;Stationary;
2081823686;Stat. 5-F;;Stationary;
3917101894;440;5-E;Öğrenci;
2082994454;415;5-E;Öğrenci;
3919165222;511;5-A;Öğrenci;
3914721222;862;5-F;Öğrenci;
2090010390;138;5-F;Öğrenci;
